City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
256,floro,61.5996,5.0328,16.04,94,100,4.63,NO,1692736161
257,dives-sur-mer,49.2818,-0.1013,18.43,90,4,3.48,FR,1692736161
258,korce,40.6186,20.7808,20.44,39,0,1.02,AL,1692735975
259,hit,33.6416,42.8251,38.22,13,0,4.39,IQ,1692736162
260,port saint john's,-31.6229,29.5448,19.48,62,2,2.67,ZA,1692736162
261,skowhegan,44.7651,-69.7192,25.08,45,5,4.78,US,1692736163
262,jijiga,9.35,42.8,20.54,65,92,3.69,ET,1692736163
263,colonia,50.9333,6.95,21.64,75,0,1.54,DE,1692736000
264,tura,25.5198,90.2201,22.83,98,100,3.3,IN,1692736163
265,yulinshi,38.2906,109.7494,20.39,52,100,1.24,CN,1692736163
266,santyoku,37.4406,129.1708,24.89,86,2,2.79,KR,1692736164
267,roma,43.2128,-75.4557,26.09,48,0,5.14,US,1692736164
268,mar del plata,-38.0023,-57.5575,13.94,56,0,3.6,AR,1692736164
269,shwebo,22.5667,95.7,24.85,95,100,2.95,MM,1692736164
270,thompson,55.7435,-97.8558,24.09,43,40,3.09,CA,1692736121
271,kushima,31.4583,131.2333,25.15,92,100,1.83,JP,1692736165
272,mbandaka,0.0487,18.2603,22.7,86,21,1.79,CD,1692736165
273,noosa heads,-26.3833,153.15,14.63,86,2,2.54,AU,1692736165
274,pangai,-19.8,-174.35,22.06,60,20,3.09,TO,1692736165
275,eden,36.4885,-79.7667,34.45,34,100,2.75,US,1692735882
276,kerikeri,-35.2268,173.9474,9.95,92,71,1.58,NZ,1692736165
277,bardai,11.65,7.2333,27.26,56,84,1.88,NG,1692736166
278,santa marta,11.2408,-74.199,31.61,69,75,5.14,CO,1692736002
279,saudarkrokur,65.7461,-19.6394,9.29,90,96,1.99,IS,1692736166
280,napili-honokowai,20.9708,-156.6705,30.64,66,0,7.93,US,1692736166
281,iwanai,42.9744,140.5089,23.83,98,33,2.19,JP,1692736167
282,nar'yan-mar,67.6713,53.087,8.41,85,100,5.29,RU,1692736167
283,mana,5.6592,-53.7767,28.55,75,30,6.24,GF,1692736167
284,ta`u,-14.2336,-169.5144,25.95,69,17,7.13,AS,1692736167
285,swakopmund,-22.6833,14.5333,12.47,86,5,0.89,NA,1692736168
286,sao gabriel da cachoeira,-0.1303,-67.0892,36.24,28,100,2.09,BR,1692736168
287,hellin,38.5106,-1.701,26.9,45,19,2.32,ES,1692736168
288,nova sintra,14.8667,-24.7167,25.09,73,73,0.92,CV,1692736168
289,jamestown,42.097,-79.2353,25.01,45,0,3.09,US,1692735869
290,flying fish cove,-10.4217,105.6791,23.82,83,100,5.66,CX,1692736169
291,dawei,14.0833,98.2,24.58,92,100,0.63,MM,1692736169
292,la ronge,55.1001,-105.2842,21.12,60,75,3.6,CA,1692736169
293,kavieng,-2.5744,150.7967,26.78,84,83,5.09,PG,1692736169
294,varena,54.2167,24.5667,14.89,72,79,2.29,LT,1692736169
295,morondava,-20.2833,44.2833,22.15,77,0,2.96,MG,1692736169
296,remire-montjoly,4.9167,-52.2667,31.02,66,0,4.63,GF,1692736170
297,carnarvon,-24.8667,113.6333,16.72,71,0,9.02,AU,1692736170
298,sisimiut,66.9395,-53.6735,13.42,74,85,3.41,GL,1692736170
299,shiqian,27.5225,108.2281,23.33,94,97,1.49,CN,1692736170
300,catriel,-37.8791,-67.7956,14.17,50,99,5.38,AR,1692736170
301,pagar alam,-4.0167,103.2667,18.6,87,1,1.15,ID,1692736171
302,north bay,46.3168,-79.4663,24.41,56,75,3.6,CA,1692736049
303,fortuna,40.5982,-124.1573,22.18,73,0,5.66,US,1692736171
304,weiser,44.251,-116.9693,28.11,54,17,1.34,US,1692736171
305,rudne,49.8333,23.9,18.64,67,1,1.51,UA,1692736171
306,spanish springs,39.6491,-119.7074,24.55,44,75,4.12,US,1692736171
307,san pedro,14.35,121.0167,26.57,96,40,1.54,PH,1692736172
308,charters towers,-20.1,146.2667,14.45,95,46,3.01,AU,1692736172
309,mohr,54.3528,9.7167,18.08,78,0,2.79,DE,1692736172
310,namtsy,62.7161,129.6658,4.62,86,2,2.57,RU,1692736172
311,urangan,-25.3,152.9,17.52,81,0,1.52,AU,1692736172
312,geraldton,-28.7667,114.6,6.23,93,0,3.6,AU,1692736173
313,pandan,14.0453,124.1694,26.69,81,100,2.04,PH,1692736173
314,talara,-4.5772,-81.2719,29.42,58,0,6.77,PE,1692736173
315,dakhla,23.6848,-15.958,23.01,88,20,7.72,EH,1692736173
316,caazapa,-26.15,-56.4,34.31,30,0,4.69,PY,1692736174
317,luau,-10.7073,22.2247,25.72,23,4,0.34,AO,1692736174
318,nadym,65.5333,72.5167,11.93,64,100,3.65,RU,1692736174
319,as sulayyil,20.4607,45.5779,33.14,15,0,2.95,SA,1692736073
320,island harbour,50.724,-1.2758,18.97,85,9,1.34,GB,1692736174
321,al bayda',32.7627,21.7551,23.95,40,0,2.46,LY,1692736175
322,enewetak,11.3474,162.3373,28.97,75,48,7.1,MH,1692736175
323,port lincoln,-34.7333,135.8667,12.1,72,100,3.97,AU,1692736175
324,tolanaro,-25.0319,46.9987,23.04,83,20,11.83,MG,1692736175
325,okha,53.5739,142.9478,15.42,96,100,1.35,RU,1692736176
326,al kharijah,25.4514,30.5464,31.82,22,0,3.75,EG,1692736176
327,buncrana,55.1333,-7.45,14.87,94,10,2.53,IE,1692736176
328,bengkulu,-3.8004,102.2655,23.18,93,18,2.48,ID,1692736176
329,ambatondrazaka,-17.8333,48.4167,13.72,95,8,1.22,MG,1692736176
330,uturoa,-16.7333,-151.4333,24.55,59,2,5.25,PF,1692736176
331,nargund,15.7167,75.3833,23.87,75,100,4.85,IN,1692736177
332,bikaner,28.0167,73.3,32.86,46,100,11.83,IN,1692736177
333,itaituba,-4.2761,-55.9836,30.09,58,75,5.14,BR,1692736177
334,mahanoro,-19.9,48.8,19.83,91,21,1.71,MG,1692736177
335,lycksele,64.5954,18.6735,12.93,100,75,0.0,SE,1692736177
336,saipan,15.1355,145.701,27.39,100,0,2.57,MP,1692736178
